class(r1,Y)	+class(r1,department)	-class(r1,course)	-class(r1,faculty)	-class(r1,person)	-class(r1,researchproject)	-class(r1,staff)	-class(r1,student)
class(r292,Y)	+class(r292,person)	+class(r292,student)	-class(r292,course)	-class(r292,department)	-class(r292,faculty)	-class(r292,researchproject)	-class(r292,staff)
class(r293,Y)	+class(r293,faculty)	+class(r293,person)	-class(r293,course)	-class(r293,department)	-class(r293,researchproject)	-class(r293,staff)	-class(r293,student)
class(r294,Y)	+class(r294,person)	+class(r294,student)	-class(r294,course)	-class(r294,department)	-class(r294,faculty)	-class(r294,researchproject)	-class(r294,staff)
class(r295,Y)	+class(r295,person)	+class(r295,student)	-class(r295,course)	-class(r295,department)	-class(r295,faculty)	-class(r295,researchproject)	-class(r295,staff)
class(r296,Y)	+class(r296,person)	+class(r296,student)	-class(r296,course)	-class(r296,department)	-class(r296,faculty)	-class(r296,researchproject)	-class(r296,staff)
class(r297,Y)	+class(r297,person)	+class(r297,student)	-class(r297,course)	-class(r297,department)	-class(r297,faculty)	-class(r297,researchproject)	-class(r297,staff)
class(r298,Y)	+class(r298,person)	+class(r298,student)	-class(r298,course)	-class(r298,department)	-class(r298,faculty)	-class(r298,researchproject)	-class(r298,staff)
class(r299,Y)	+class(r299,person)	+class(r299,student)	-class(r299,course)	-class(r299,department)	-class(r299,faculty)	-class(r299,researchproject)	-class(r299,staff)
class(r300,Y)	+class(r300,person)	+class(r300,student)	-class(r300,course)	-class(r300,department)	-class(r300,faculty)	-class(r300,researchproject)	-class(r300,staff)
class(r302,Y)	+class(r302,course)	-class(r302,department)	-class(r302,faculty)	-class(r302,person)	-class(r302,researchproject)	-class(r302,staff)	-class(r302,student)
class(r301,Y)	+class(r301,faculty)	+class(r301,person)	-class(r301,course)	-class(r301,department)	-class(r301,researchproject)	-class(r301,staff)	-class(r301,student)
class(r303,Y)	+class(r303,faculty)	+class(r303,person)	-class(r303,course)	-class(r303,department)	-class(r303,researchproject)	-class(r303,staff)	-class(r303,student)
class(r304,Y)	+class(r304,researchproject)	-class(r304,course)	-class(r304,department)	-class(r304,faculty)	-class(r304,person)	-class(r304,staff)	-class(r304,student)
class(r305,Y)	+class(r305,person)	+class(r305,student)	-class(r305,course)	-class(r305,department)	-class(r305,faculty)	-class(r305,researchproject)	-class(r305,staff)
class(r306,Y)	+class(r306,person)	+class(r306,student)	-class(r306,course)	-class(r306,department)	-class(r306,faculty)	-class(r306,researchproject)	-class(r306,staff)
class(r307,Y)	+class(r307,person)	+class(r307,student)	-class(r307,course)	-class(r307,department)	-class(r307,faculty)	-class(r307,researchproject)	-class(r307,staff)
class(r308,Y)	+class(r308,person)	+class(r308,student)	-class(r308,course)	-class(r308,department)	-class(r308,faculty)	-class(r308,researchproject)	-class(r308,staff)
class(r309,Y)	+class(r309,person)	+class(r309,student)	-class(r309,course)	-class(r309,department)	-class(r309,faculty)	-class(r309,researchproject)	-class(r309,staff)
class(r310,Y)	+class(r310,person)	+class(r310,student)	-class(r310,course)	-class(r310,department)	-class(r310,faculty)	-class(r310,researchproject)	-class(r310,staff)
class(r311,Y)	+class(r311,person)	+class(r311,student)	-class(r311,course)	-class(r311,department)	-class(r311,faculty)	-class(r311,researchproject)	-class(r311,staff)
class(r312,Y)	+class(r312,researchproject)	-class(r312,course)	-class(r312,department)	-class(r312,faculty)	-class(r312,person)	-class(r312,staff)	-class(r312,student)
class(r313,Y)	+class(r313,person)	+class(r313,student)	-class(r313,course)	-class(r313,department)	-class(r313,faculty)	-class(r313,researchproject)	-class(r313,staff)
class(r314,Y)	+class(r314,person)	+class(r314,student)	-class(r314,course)	-class(r314,department)	-class(r314,faculty)	-class(r314,researchproject)	-class(r314,staff)
class(r315,Y)	+class(r315,person)	+class(r315,student)	-class(r315,course)	-class(r315,department)	-class(r315,faculty)	-class(r315,researchproject)	-class(r315,staff)
class(r316,Y)	+class(r316,person)	+class(r316,student)	-class(r316,course)	-class(r316,department)	-class(r316,faculty)	-class(r316,researchproject)	-class(r316,staff)
class(r317,Y)	+class(r317,person)	+class(r317,student)	-class(r317,course)	-class(r317,department)	-class(r317,faculty)	-class(r317,researchproject)	-class(r317,staff)
class(r318,Y)	+class(r318,researchproject)	-class(r318,course)	-class(r318,department)	-class(r318,faculty)	-class(r318,person)	-class(r318,staff)	-class(r318,student)
class(r319,Y)	+class(r319,person)	+class(r319,student)	-class(r319,course)	-class(r319,department)	-class(r319,faculty)	-class(r319,researchproject)	-class(r319,staff)
class(r320,Y)	+class(r320,person)	-class(r320,course)	-class(r320,department)	-class(r320,faculty)	-class(r320,researchproject)	-class(r320,staff)	-class(r320,student)
class(r321,Y)	+class(r321,researchproject)	-class(r321,course)	-class(r321,department)	-class(r321,faculty)	-class(r321,person)	-class(r321,staff)	-class(r321,student)
class(r320,Y)	+class(r320,student)	-class(r320,course)	-class(r320,department)	-class(r320,faculty)	-class(r320,person)	-class(r320,researchproject)	-class(r320,staff)
class(r322,Y)	+class(r322,person)	+class(r322,student)	-class(r322,course)	-class(r322,department)	-class(r322,faculty)	-class(r322,researchproject)	-class(r322,staff)
class(r323,Y)	+class(r323,person)	+class(r323,student)	-class(r323,course)	-class(r323,department)	-class(r323,faculty)	-class(r323,researchproject)	-class(r323,staff)
class(r325,Y)	+class(r325,course)	-class(r325,department)	-class(r325,faculty)	-class(r325,person)	-class(r325,researchproject)	-class(r325,staff)	-class(r325,student)
class(r326,Y)	+class(r326,course)	-class(r326,department)	-class(r326,faculty)	-class(r326,person)	-class(r326,researchproject)	-class(r326,staff)	-class(r326,student)
class(r324,Y)	+class(r324,faculty)	+class(r324,person)	-class(r324,course)	-class(r324,department)	-class(r324,researchproject)	-class(r324,staff)	-class(r324,student)
class(r327,Y)	+class(r327,person)	+class(r327,student)	-class(r327,course)	-class(r327,department)	-class(r327,faculty)	-class(r327,researchproject)	-class(r327,staff)
class(r328,Y)	+class(r328,person)	+class(r328,student)	-class(r328,course)	-class(r328,department)	-class(r328,faculty)	-class(r328,researchproject)	-class(r328,staff)
class(r329,Y)	+class(r329,person)	+class(r329,student)	-class(r329,course)	-class(r329,department)	-class(r329,faculty)	-class(r329,researchproject)	-class(r329,staff)
class(r330,Y)	+class(r330,person)	+class(r330,student)	-class(r330,course)	-class(r330,department)	-class(r330,faculty)	-class(r330,researchproject)	-class(r330,staff)
class(r331,Y)	+class(r331,person)	+class(r331,student)	-class(r331,course)	-class(r331,department)	-class(r331,faculty)	-class(r331,researchproject)	-class(r331,staff)
class(r332,Y)	+class(r332,person)	+class(r332,student)	-class(r332,course)	-class(r332,department)	-class(r332,faculty)	-class(r332,researchproject)	-class(r332,staff)
class(r333,Y)	+class(r333,faculty)	+class(r333,person)	-class(r333,course)	-class(r333,department)	-class(r333,researchproject)	-class(r333,staff)	-class(r333,student)
class(r334,Y)	+class(r334,researchproject)	-class(r334,course)	-class(r334,department)	-class(r334,faculty)	-class(r334,person)	-class(r334,staff)	-class(r334,student)
class(r335,Y)	+class(r335,course)	-class(r335,department)	-class(r335,faculty)	-class(r335,person)	-class(r335,researchproject)	-class(r335,staff)	-class(r335,student)
class(r336,Y)	+class(r336,faculty)	+class(r336,person)	-class(r336,course)	-class(r336,department)	-class(r336,researchproject)	-class(r336,staff)	-class(r336,student)
class(r338,Y)	+class(r338,course)	-class(r338,department)	-class(r338,faculty)	-class(r338,person)	-class(r338,researchproject)	-class(r338,staff)	-class(r338,student)
class(r337,Y)	+class(r337,person)	+class(r337,student)	-class(r337,course)	-class(r337,department)	-class(r337,faculty)	-class(r337,researchproject)	-class(r337,staff)
class(r339,Y)	+class(r339,person)	+class(r339,student)	-class(r339,course)	-class(r339,department)	-class(r339,faculty)	-class(r339,researchproject)	-class(r339,staff)
class(r340,Y)	+class(r340,person)	+class(r340,student)	-class(r340,course)	-class(r340,department)	-class(r340,faculty)	-class(r340,researchproject)	-class(r340,staff)
class(r341,Y)	+class(r341,faculty)	+class(r341,person)	-class(r341,course)	-class(r341,department)	-class(r341,researchproject)	-class(r341,staff)	-class(r341,student)
class(r342,Y)	+class(r342,person)	+class(r342,student)	-class(r342,course)	-class(r342,department)	-class(r342,faculty)	-class(r342,researchproject)	-class(r342,staff)
class(r343,Y)	+class(r343,person)	+class(r343,student)	-class(r343,course)	-class(r343,department)	-class(r343,faculty)	-class(r343,researchproject)	-class(r343,staff)
class(r344,Y)	+class(r344,person)	+class(r344,student)	-class(r344,course)	-class(r344,department)	-class(r344,faculty)	-class(r344,researchproject)	-class(r344,staff)
class(r345,Y)	+class(r345,person)	+class(r345,student)	-class(r345,course)	-class(r345,department)	-class(r345,faculty)	-class(r345,researchproject)	-class(r345,staff)
class(r346,Y)	+class(r346,person)	+class(r346,student)	-class(r346,course)	-class(r346,department)	-class(r346,faculty)	-class(r346,researchproject)	-class(r346,staff)
class(r347,Y)	+class(r347,person)	+class(r347,student)	-class(r347,course)	-class(r347,department)	-class(r347,faculty)	-class(r347,researchproject)	-class(r347,staff)
class(r348,Y)	+class(r348,person)	+class(r348,student)	-class(r348,course)	-class(r348,department)	-class(r348,faculty)	-class(r348,researchproject)	-class(r348,staff)
class(r349,Y)	+class(r349,person)	+class(r349,student)	-class(r349,course)	-class(r349,department)	-class(r349,faculty)	-class(r349,researchproject)	-class(r349,staff)
class(r351,Y)	+class(r351,course)	-class(r351,department)	-class(r351,faculty)	-class(r351,person)	-class(r351,researchproject)	-class(r351,staff)	-class(r351,student)
class(r352,Y)	+class(r352,course)	-class(r352,department)	-class(r352,faculty)	-class(r352,person)	-class(r352,researchproject)	-class(r352,staff)	-class(r352,student)
class(r350,Y)	+class(r350,faculty)	+class(r350,person)	-class(r350,course)	-class(r350,department)	-class(r350,researchproject)	-class(r350,staff)	-class(r350,student)
class(r353,Y)	+class(r353,person)	+class(r353,student)	-class(r353,course)	-class(r353,department)	-class(r353,faculty)	-class(r353,researchproject)	-class(r353,staff)
class(r354,Y)	+class(r354,person)	+class(r354,student)	-class(r354,course)	-class(r354,department)	-class(r354,faculty)	-class(r354,researchproject)	-class(r354,staff)
class(r355,Y)	+class(r355,person)	+class(r355,student)	-class(r355,course)	-class(r355,department)	-class(r355,faculty)	-class(r355,researchproject)	-class(r355,staff)
class(r356,Y)	+class(r356,person)	+class(r356,student)	-class(r356,course)	-class(r356,department)	-class(r356,faculty)	-class(r356,researchproject)	-class(r356,staff)
class(r357,Y)	+class(r357,faculty)	+class(r357,person)	-class(r357,course)	-class(r357,department)	-class(r357,researchproject)	-class(r357,staff)	-class(r357,student)
class(r358,Y)	+class(r358,department)	-class(r358,course)	-class(r358,faculty)	-class(r358,person)	-class(r358,researchproject)	-class(r358,staff)	-class(r358,student)
class(r359,Y)	+class(r359,person)	+class(r359,student)	-class(r359,course)	-class(r359,department)	-class(r359,faculty)	-class(r359,researchproject)	-class(r359,staff)
class(r360,Y)	+class(r360,person)	+class(r360,student)	-class(r360,course)	-class(r360,department)	-class(r360,faculty)	-class(r360,researchproject)	-class(r360,staff)
class(r361,Y)	+class(r361,person)	+class(r361,student)	-class(r361,course)	-class(r361,department)	-class(r361,faculty)	-class(r361,researchproject)	-class(r361,staff)
class(r362,Y)	+class(r362,person)	+class(r362,student)	-class(r362,course)	-class(r362,department)	-class(r362,faculty)	-class(r362,researchproject)	-class(r362,staff)
class(r363,Y)	+class(r363,person)	+class(r363,student)	-class(r363,course)	-class(r363,department)	-class(r363,faculty)	-class(r363,researchproject)	-class(r363,staff)
class(r364,Y)	+class(r364,person)	+class(r364,student)	-class(r364,course)	-class(r364,department)	-class(r364,faculty)	-class(r364,researchproject)	-class(r364,staff)
class(r365,Y)	+class(r365,person)	+class(r365,student)	-class(r365,course)	-class(r365,department)	-class(r365,faculty)	-class(r365,researchproject)	-class(r365,staff)
class(r366,Y)	+class(r366,person)	+class(r366,student)	-class(r366,course)	-class(r366,department)	-class(r366,faculty)	-class(r366,researchproject)	-class(r366,staff)
class(r368,Y)	+class(r368,course)	-class(r368,department)	-class(r368,faculty)	-class(r368,person)	-class(r368,researchproject)	-class(r368,staff)	-class(r368,student)
class(r367,Y)	+class(r367,person)	+class(r367,student)	-class(r367,course)	-class(r367,department)	-class(r367,faculty)	-class(r367,researchproject)	-class(r367,staff)
class(r369,Y)	+class(r369,person)	+class(r369,student)	-class(r369,course)	-class(r369,department)	-class(r369,faculty)	-class(r369,researchproject)	-class(r369,staff)
class(r370,Y)	+class(r370,person)	+class(r370,student)	-class(r370,course)	-class(r370,department)	-class(r370,faculty)	-class(r370,researchproject)	-class(r370,staff)
class(r371,Y)	+class(r371,person)	+class(r371,student)	-class(r371,course)	-class(r371,department)	-class(r371,faculty)	-class(r371,researchproject)	-class(r371,staff)
class(r372,Y)	+class(r372,person)	+class(r372,student)	-class(r372,course)	-class(r372,department)	-class(r372,faculty)	-class(r372,researchproject)	-class(r372,staff)
class(r374,Y)	+class(r374,department)	-class(r374,course)	-class(r374,faculty)	-class(r374,person)	-class(r374,researchproject)	-class(r374,staff)	-class(r374,student)
class(r373,Y)	+class(r373,person)	+class(r373,staff)	-class(r373,course)	-class(r373,department)	-class(r373,faculty)	-class(r373,researchproject)	-class(r373,student)
class(r375,Y)	+class(r375,person)	+class(r375,student)	-class(r375,course)	-class(r375,department)	-class(r375,faculty)	-class(r375,researchproject)	-class(r375,staff)
class(r376,Y)	+class(r376,person)	+class(r376,student)	-class(r376,course)	-class(r376,department)	-class(r376,faculty)	-class(r376,researchproject)	-class(r376,staff)
class(r377,Y)	+class(r377,course)	-class(r377,department)	-class(r377,faculty)	-class(r377,person)	-class(r377,researchproject)	-class(r377,staff)	-class(r377,student)
class(r378,Y)	+class(r378,person)	+class(r378,student)	-class(r378,course)	-class(r378,department)	-class(r378,faculty)	-class(r378,researchproject)	-class(r378,staff)
class(r379,Y)	+class(r379,department)	+class(r379,person)	+class(r379,student)	-class(r379,course)	-class(r379,faculty)	-class(r379,researchproject)	-class(r379,staff)
class(r380,Y)	+class(r380,person)	+class(r380,student)	-class(r380,course)	-class(r380,department)	-class(r380,faculty)	-class(r380,researchproject)	-class(r380,staff)
class(r381,Y)	+class(r381,person)	+class(r381,student)	-class(r381,course)	-class(r381,department)	-class(r381,faculty)	-class(r381,researchproject)	-class(r381,staff)
class(r382,Y)	+class(r382,person)	+class(r382,student)	-class(r382,course)	-class(r382,department)	-class(r382,faculty)	-class(r382,researchproject)	-class(r382,staff)
class(r383,Y)	+class(r383,faculty)	+class(r383,person)	-class(r383,course)	-class(r383,department)	-class(r383,researchproject)	-class(r383,staff)	-class(r383,student)
class(r384,Y)	+class(r384,person)	+class(r384,student)	-class(r384,course)	-class(r384,department)	-class(r384,faculty)	-class(r384,researchproject)	-class(r384,staff)
class(r386,Y)	+class(r386,course)	-class(r386,department)	-class(r386,faculty)	-class(r386,person)	-class(r386,researchproject)	-class(r386,staff)	-class(r386,student)
class(r385,Y)	+class(r385,person)	+class(r385,student)	-class(r385,course)	-class(r385,department)	-class(r385,faculty)	-class(r385,researchproject)	-class(r385,staff)
class(r387,Y)	+class(r387,faculty)	+class(r387,person)	-class(r387,course)	-class(r387,department)	-class(r387,researchproject)	-class(r387,staff)	-class(r387,student)
class(r388,Y)	+class(r388,faculty)	-class(r388,course)	-class(r388,department)	-class(r388,person)	-class(r388,researchproject)	-class(r388,staff)	-class(r388,student)
class(r389,Y)	+class(r389,researchproject)	-class(r389,course)	-class(r389,department)	-class(r389,faculty)	-class(r389,person)	-class(r389,staff)	-class(r389,student)
class(r388,Y)	+class(r388,person)	-class(r388,course)	-class(r388,department)	-class(r388,faculty)	-class(r388,researchproject)	-class(r388,staff)	-class(r388,student)
class(r390,Y)	+class(r390,person)	+class(r390,student)	-class(r390,course)	-class(r390,department)	-class(r390,faculty)	-class(r390,researchproject)	-class(r390,staff)
class(r392,Y)	+class(r392,course)	-class(r392,department)	-class(r392,faculty)	-class(r392,person)	-class(r392,researchproject)	-class(r392,staff)	-class(r392,student)
class(r391,Y)	+class(r391,department)	+class(r391,faculty)	+class(r391,person)	-class(r391,course)	-class(r391,researchproject)	-class(r391,staff)	-class(r391,student)
class(r393,Y)	+class(r393,person)	+class(r393,student)	-class(r393,course)	-class(r393,department)	-class(r393,faculty)	-class(r393,researchproject)	-class(r393,staff)
class(r394,Y)	+class(r394,researchproject)	-class(r394,course)	-class(r394,department)	-class(r394,faculty)	-class(r394,person)	-class(r394,staff)	-class(r394,student)
class(r396,Y)	+class(r396,course)	-class(r396,department)	-class(r396,faculty)	-class(r396,person)	-class(r396,researchproject)	-class(r396,staff)	-class(r396,student)
class(r395,Y)	+class(r395,faculty)	+class(r395,person)	-class(r395,course)	-class(r395,department)	-class(r395,researchproject)	-class(r395,staff)	-class(r395,student)
class(r397,Y)	+class(r397,person)	+class(r397,student)	-class(r397,course)	-class(r397,department)	-class(r397,faculty)	-class(r397,researchproject)	-class(r397,staff)
class(r399,Y)	+class(r399,course)	-class(r399,department)	-class(r399,faculty)	-class(r399,person)	-class(r399,researchproject)	-class(r399,staff)	-class(r399,student)
class(r400,Y)	+class(r400,course)	-class(r400,department)	-class(r400,faculty)	-class(r400,person)	-class(r400,researchproject)	-class(r400,staff)	-class(r400,student)
class(r398,Y)	+class(r398,faculty)	+class(r398,person)	-class(r398,course)	-class(r398,department)	-class(r398,researchproject)	-class(r398,staff)	-class(r398,student)
class(r401,Y)	+class(r401,person)	+class(r401,student)	-class(r401,course)	-class(r401,department)	-class(r401,faculty)	-class(r401,researchproject)	-class(r401,staff)
class(r402,Y)	+class(r402,faculty)	+class(r402,person)	-class(r402,course)	-class(r402,department)	-class(r402,researchproject)	-class(r402,staff)	-class(r402,student)
class(r403,Y)	+class(r403,person)	+class(r403,student)	-class(r403,course)	-class(r403,department)	-class(r403,faculty)	-class(r403,researchproject)	-class(r403,staff)
class(r404,Y)	+class(r404,person)	+class(r404,student)	-class(r404,course)	-class(r404,department)	-class(r404,faculty)	-class(r404,researchproject)	-class(r404,staff)
class(r405,Y)	+class(r405,person)	+class(r405,student)	-class(r405,course)	-class(r405,department)	-class(r405,faculty)	-class(r405,researchproject)	-class(r405,staff)
class(r406,Y)	+class(r406,person)	+class(r406,student)	-class(r406,course)	-class(r406,department)	-class(r406,faculty)	-class(r406,researchproject)	-class(r406,staff)
class(r407,Y)	+class(r407,person)	+class(r407,student)	-class(r407,course)	-class(r407,department)	-class(r407,faculty)	-class(r407,researchproject)	-class(r407,staff)
class(r408,Y)	+class(r408,person)	+class(r408,student)	-class(r408,course)	-class(r408,department)	-class(r408,faculty)	-class(r408,researchproject)	-class(r408,staff)
class(r409,Y)	+class(r409,person)	+class(r409,student)	-class(r409,course)	-class(r409,department)	-class(r409,faculty)	-class(r409,researchproject)	-class(r409,staff)
class(r410,Y)	+class(r410,person)	+class(r410,student)	-class(r410,course)	-class(r410,department)	-class(r410,faculty)	-class(r410,researchproject)	-class(r410,staff)
class(r411,Y)	+class(r411,person)	+class(r411,student)	-class(r411,course)	-class(r411,department)	-class(r411,faculty)	-class(r411,researchproject)	-class(r411,staff)
class(r412,Y)	+class(r412,researchproject)	-class(r412,course)	-class(r412,department)	-class(r412,faculty)	-class(r412,person)	-class(r412,staff)	-class(r412,student)
class(r414,Y)	+class(r414,course)	-class(r414,department)	-class(r414,faculty)	-class(r414,person)	-class(r414,researchproject)	-class(r414,staff)	-class(r414,student)
class(r413,Y)	+class(r413,faculty)	+class(r413,person)	-class(r413,course)	-class(r413,department)	-class(r413,researchproject)	-class(r413,staff)	-class(r413,student)
class(r415,Y)	+class(r415,faculty)	+class(r415,person)	-class(r415,course)	-class(r415,department)	-class(r415,researchproject)	-class(r415,staff)	-class(r415,student)
class(r416,Y)	+class(r416,researchproject)	-class(r416,course)	-class(r416,department)	-class(r416,faculty)	-class(r416,person)	-class(r416,staff)	-class(r416,student)
class(r418,Y)	+class(r418,course)	-class(r418,department)	-class(r418,faculty)	-class(r418,person)	-class(r418,researchproject)	-class(r418,staff)	-class(r418,student)
class(r419,Y)	+class(r419,course)	-class(r419,department)	-class(r419,faculty)	-class(r419,person)	-class(r419,researchproject)	-class(r419,staff)	-class(r419,student)
class(r417,Y)	+class(r417,faculty)	-class(r417,course)	-class(r417,department)	-class(r417,person)	-class(r417,researchproject)	-class(r417,staff)	-class(r417,student)
class(r420,Y)	+class(r420,course)	-class(r420,department)	-class(r420,faculty)	-class(r420,person)	-class(r420,researchproject)	-class(r420,staff)	-class(r420,student)
class(r417,Y)	+class(r417,person)	-class(r417,course)	-class(r417,department)	-class(r417,faculty)	-class(r417,researchproject)	-class(r417,staff)	-class(r417,student)
class(r421,Y)	+class(r421,person)	+class(r421,student)	-class(r421,course)	-class(r421,department)	-class(r421,faculty)	-class(r421,researchproject)	-class(r421,staff)
class(r422,Y)	+class(r422,person)	+class(r422,student)	-class(r422,course)	-class(r422,department)	-class(r422,faculty)	-class(r422,researchproject)	-class(r422,staff)
class(r423,Y)	+class(r423,faculty)	+class(r423,person)	-class(r423,course)	-class(r423,department)	-class(r423,researchproject)	-class(r423,staff)	-class(r423,student)
class(r424,Y)	+class(r424,person)	+class(r424,student)	-class(r424,course)	-class(r424,department)	-class(r424,faculty)	-class(r424,researchproject)	-class(r424,staff)
class(r425,Y)	+class(r425,person)	+class(r425,student)	-class(r425,course)	-class(r425,department)	-class(r425,faculty)	-class(r425,researchproject)	-class(r425,staff)
class(r426,Y)	+class(r426,person)	+class(r426,student)	-class(r426,course)	-class(r426,department)	-class(r426,faculty)	-class(r426,researchproject)	-class(r426,staff)
class(r427,Y)	+class(r427,researchproject)	-class(r427,course)	-class(r427,department)	-class(r427,faculty)	-class(r427,person)	-class(r427,staff)	-class(r427,student)
class(r428,Y)	+class(r428,researchproject)	-class(r428,course)	-class(r428,department)	-class(r428,faculty)	-class(r428,person)	-class(r428,staff)	-class(r428,student)
class(r430,Y)	+class(r430,course)	-class(r430,department)	-class(r430,faculty)	-class(r430,person)	-class(r430,researchproject)	-class(r430,staff)	-class(r430,student)
class(r431,Y)	+class(r431,course)	-class(r431,department)	-class(r431,faculty)	-class(r431,person)	-class(r431,researchproject)	-class(r431,staff)	-class(r431,student)
class(r432,Y)	+class(r432,course)	-class(r432,department)	-class(r432,faculty)	-class(r432,person)	-class(r432,researchproject)	-class(r432,staff)	-class(r432,student)
class(r433,Y)	+class(r433,course)	-class(r433,department)	-class(r433,faculty)	-class(r433,person)	-class(r433,researchproject)	-class(r433,staff)	-class(r433,student)
class(r429,Y)	+class(r429,faculty)	+class(r429,person)	-class(r429,course)	-class(r429,department)	-class(r429,researchproject)	-class(r429,staff)	-class(r429,student)
class(r434,Y)	+class(r434,person)	+class(r434,student)	-class(r434,course)	-class(r434,department)	-class(r434,faculty)	-class(r434,researchproject)	-class(r434,staff)
