# proved 1	predict(test00581,X1)  #v:[?].	269 msec
# proved 43	predict(test02087,X1)  #v:[?].	10 msec
1	0.370402776903571	predict(test02087,acq).
2	0.35689472686200585	predict(test02087,ship).
3	0.1480848072756324	predict(test02087,earn).
4	0.12461768895879088	predict(test02087,crude).
# proved 44	predict(test00211,X1)  #v:[?].	4 msec
1	0.28935389594137473	predict(test00211,earn).
2	0.2475741316935842	predict(test00211,crude).
3	0.1502464062682948	predict(test00211,money-fx).
4	0.1470311419418329	predict(test00211,grain).
5	0.08740413379858418	predict(test00211,trade).
6	0.048489271413025205	predict(test00211,interest).
7	0.029901018943303968	predict(test00211,acq).
# proved 45	predict(test01529,X1)  #v:[?].	12 msec
1	0.1700282921996493	predict(test01529,ship).
2	0.1613417869024181	predict(test01529,crude).
3	0.12965556067537437	predict(test01529,trade).
4	0.12430343249899713	predict(test01529,earn).
5	0.11014876711569088	predict(test01529,acq).
6	0.10550680500305558	predict(test01529,money-fx).
7	0.10211890896381166	predict(test01529,interest).
8	0.09689644664100296	predict(test01529,grain).
# proved 46	predict(test00880,X1)  #v:[?].	8 msec
1	0.27104788746498587	predict(test00880,acq).
2	0.2440542660380366	predict(test00880,earn).
3	0.21426296032710204	predict(test00880,ship).
4	0.10128557115244392	predict(test00880,crude).
5	0.08672541837004324	predict(test00880,grain).
6	0.08262389664738855	predict(test00880,trade).
# proved 47	predict(test00519,X1)  #v:[?].	14 msec
1	0.3550441197917622	predict(test00519,ship).
2	0.3306986181080741	predict(test00519,earn).
3	0.3142572621001637	predict(test00519,acq).
# proved 48	predict(test01757,X1)  #v:[?].	11 msec
1	0.15562533629303787	predict(test01757,ship).
2	0.13054273517003548	predict(test01757,trade).
3	0.12239333074019665	predict(test01757,money-fx).
4	0.12170377687673242	predict(test01757,interest).
5	0.12006384305269657	predict(test01757,crude).
6	0.1190221371504883	predict(test01757,grain).
7	0.11589426620106259	predict(test01757,acq).
8	0.11475457451575002	predict(test01757,earn).
# proved 49	predict(test01617,X1)  #v:[?].	3 msec
1	0.7661852771064342	predict(test01617,interest).
2	0.23381472289356575	predict(test01617,money-fx).
# proved 50	predict(test00701,X1)  #v:[?].	7 msec
1	0.23272552086708045	predict(test00701,ship).
2	0.19914266372904116	predict(test00701,acq).
3	0.1691001032525826	predict(test00701,earn).
4	0.13336662925576692	predict(test00701,crude).
5	0.11844526258347164	predict(test00701,trade).
6	0.0915192379702034	predict(test00701,money-fx).
7	0.05570058234185377	predict(test00701,interest).
# proved 51	predict(test00675,X1)  #v:[?].	8 msec
1	0.31558788868791565	predict(test00675,earn).
2	0.3049542005699149	predict(test00675,acq).
3	0.23012089521177043	predict(test00675,ship).
4	0.14933701553039916	predict(test00675,crude).
# proved 52	predict(test01260,X1)  #v:[?].	14 msec
1	0.1418766558986263	predict(test01260,ship).
2	0.13849994974790353	predict(test01260,acq).
3	0.13242043721903302	predict(test01260,earn).
4	0.11900755273698886	predict(test01260,money-fx).
5	0.11826731369763924	predict(test01260,crude).
6	0.11801803344331219	predict(test01260,trade).
7	0.11691256979014496	predict(test01260,interest).
8	0.11499748746635184	predict(test01260,grain).
# proved 53	predict(test00759,X1)  #v:[?].	15 msec
1	0.18728660258000215	predict(test00759,ship).
2	0.1721655819595482	predict(test00759,trade).
3	0.14592452587595273	predict(test00759,crude).
4	0.14552350859475705	predict(test00759,money-fx).
5	0.11357100504648822	predict(test00759,interest).
6	0.11162540411971188	predict(test00759,acq).
7	0.08423176697546166	predict(test00759,grain).
8	0.03967160484807804	predict(test00759,earn).
# proved 54	predict(test01060,X1)  #v:[?].	10 msec
1	0.14136288739302705	predict(test01060,acq).
2	0.14069232820152985	predict(test01060,ship).
3	0.1256018916170881	predict(test01060,crude).
4	0.12241450864908028	predict(test01060,trade).
5	0.12006405103208691	predict(test01060,grain).
6	0.1194648264819665	predict(test01060,money-fx).
7	0.11624364717285034	predict(test01060,interest).
8	0.11415585945237103	predict(test01060,earn).
# proved 55	predict(test01876,X1)  #v:[?].	10 msec
1	0.16166271548751748	predict(test01876,earn).
2	0.14390784276350976	predict(test01876,ship).
3	0.12563574872847075	predict(test01876,interest).
4	0.1229453491610993	predict(test01876,crude).
5	0.11950589406521873	predict(test01876,acq).
6	0.11327997962099003	predict(test01876,money-fx).
7	0.11224804445583718	predict(test01876,trade).
8	0.10081442571735667	predict(test01876,grain).
# proved 56	predict(test00322,X1)  #v:[?].	8 msec
1	0.1473697051719341	predict(test00322,acq).
2	0.13628589725342657	predict(test00322,ship).
3	0.1355761770836006	predict(test00322,earn).
4	0.12152637753407179	predict(test00322,money-fx).
5	0.11884552751387477	predict(test00322,interest).
6	0.1157642059665114	predict(test00322,crude).
7	0.11280411592827869	predict(test00322,grain).
8	0.11182799354830195	predict(test00322,trade).
# proved 57	predict(test00022,X1)  #v:[?].	21 msec
1	0.14772175174912802	predict(test00022,ship).
2	0.14308048026846906	predict(test00022,acq).
3	0.13832572236260035	predict(test00022,earn).
4	0.12323605143232515	predict(test00022,money-fx).
5	0.1194807807814484	predict(test00022,grain).
6	0.11601757428549155	predict(test00022,crude).
7	0.11482555673822627	predict(test00022,trade).
8	0.09731208238231116	predict(test00022,interest).
# proved 58	predict(test00938,X1)  #v:[?].	4 msec
1	0.3417914368112351	predict(test00938,acq).
2	0.27934847200155205	predict(test00938,ship).
3	0.2236745763418844	predict(test00938,earn).
4	0.1551855148453285	predict(test00938,crude).
# proved 59	predict(test00372,X1)  #v:[?].	4 msec
1	1.0	predict(test00372,earn).
# proved 60	predict(test00785,X1)  #v:[?].	4 msec
1	0.6805675683075456	predict(test00785,earn).
2	0.2187469281484653	predict(test00785,acq).
3	0.10068550354398911	predict(test00785,trade).
# proved 61	predict(test01192,X1)  #v:[?].	5 msec
1	0.2866968514990186	predict(test01192,ship).
2	0.27641001174138224	predict(test01192,crude).
3	0.25142048028013403	predict(test01192,earn).
4	0.15660417983590358	predict(test01192,acq).
5	0.028868476643561593	predict(test01192,interest).
# proved 62	predict(test00711,X1)  #v:[?].	3 msec
1	0.6117888329055706	predict(test00711,earn).
2	0.15901574922777267	predict(test00711,acq).
3	0.12687635937438946	predict(test00711,trade).
4	0.0894816133244182	predict(test00711,crude).
5	0.012837445167849036	predict(test00711,money-fx).
# proved 63	predict(test01735,X1)  #v:[?].	5 msec
1	0.9818355423391014	predict(test01735,earn).
2	0.018164457660898532	predict(test01735,acq).
# proved 64	predict(test00343,X1)  #v:[?].	7 msec
1	0.36675543389795906	predict(test00343,ship).
2	0.3495858564362084	predict(test00343,acq).
3	0.2836587096658325	predict(test00343,earn).
# proved 65	predict(test01011,X1)  #v:[?].	7 msec
1	0.35854712378462583	predict(test01011,acq).
2	0.3528019473193762	predict(test01011,ship).
3	0.14484419954117378	predict(test01011,crude).
4	0.1438067293548242	predict(test01011,interest).
# proved 66	predict(test00416,X1)  #v:[?].	12 msec
1	0.5087636926977176	predict(test00416,ship).
2	0.4912363073022824	predict(test00416,acq).
# proved 67	predict(test00038,X1)  #v:[?].	3 msec
1	0.3433731872990199	predict(test00038,earn).
2	0.19674424902855625	predict(test00038,acq).
3	0.1376848345165994	predict(test00038,crude).
4	0.12344469487188793	predict(test00038,trade).
5	0.10712122706832322	predict(test00038,interest).
6	0.09163180721561334	predict(test00038,money-fx).
# proved 68	predict(test01949,X1)  #v:[?].	5 msec
1	1.0	predict(test01949,earn).
# proved 69	predict(test01657,X1)  #v:[?].	4 msec
1	0.24569986028903643	predict(test01657,earn).
2	0.16026503882541415	predict(test01657,interest).
3	0.14408976185639516	predict(test01657,money-fx).
4	0.12271978996690996	predict(test01657,trade).
5	0.1197497143516608	predict(test01657,acq).
6	0.11887817367482781	predict(test01657,crude).
7	0.08859766103575578	predict(test01657,grain).
# proved 70	predict(test01881,X1)  #v:[?].	4 msec
1	0.2948997643663351	predict(test01881,ship).
2	0.2804780088493235	predict(test01881,crude).
3	0.24582477850042603	predict(test01881,earn).
4	0.17879744828391542	predict(test01881,acq).
# proved 71	predict(test02138,X1)  #v:[?].	4 msec
1	0.746556333254335	predict(test02138,earn).
2	0.25344366674566504	predict(test02138,ship).
# proved 72	predict(test00106,X1)  #v:[?].	4 msec
1	0.28242966373713485	predict(test00106,acq).
2	0.22511566382749168	predict(test00106,ship).
3	0.1702131996734372	predict(test00106,earn).
4	0.13286570948346182	predict(test00106,money-fx).
5	0.12589369357191604	predict(test00106,interest).
6	0.05093943076876035	predict(test00106,trade).
7	0.012542638937798093	predict(test00106,crude).
# proved 73	predict(test00459,X1)  #v:[?].	8 msec
1	0.31705281168256505	predict(test00459,ship).
2	0.28873883009816237	predict(test00459,earn).
3	0.20592098577961693	predict(test00459,acq).
4	0.18828737243965563	predict(test00459,interest).
# proved 74	predict(test00046,X1)  #v:[?].	3 msec
1	0.21692548697273953	predict(test00046,earn).
2	0.14040616526971522	predict(test00046,trade).
3	0.13908695638805435	predict(test00046,interest).
4	0.13765534336483742	predict(test00046,acq).
5	0.1349005485819322	predict(test00046,money-fx).
6	0.12519858963725491	predict(test00046,crude).
7	0.10582690978546641	predict(test00046,grain).
# proved 75	predict(test00331,X1)  #v:[?].	5 msec
1	0.6386720283998235	predict(test00331,earn).
2	0.36132797160017655	predict(test00331,ship).
# proved 76	predict(test01104,X1)  #v:[?].	3 msec
1	0.308230352110183	predict(test01104,acq).
2	0.2958935465033323	predict(test01104,ship).
3	0.2711720189222609	predict(test01104,earn).
4	0.07233220758901211	predict(test01104,crude).
5	0.052371874875211645	predict(test01104,money-fx).
# proved 77	predict(test01789,X1)  #v:[?].	6 msec
1	0.21680844188181042	predict(test01789,ship).
2	0.20848112834066063	predict(test01789,acq).
3	0.1357245003283253	predict(test01789,interest).
4	0.11552556057984953	predict(test01789,earn).
5	0.1103671742989632	predict(test01789,money-fx).
6	0.08922794099463367	predict(test01789,crude).
7	0.08569136030704162	predict(test01789,grain).
8	0.038173893268715585	predict(test01789,trade).
# proved 78	predict(test00658,X1)  #v:[?].	3 msec
1	1.0	predict(test00658,earn).
# proved 79	predict(test01278,X1)  #v:[?].	3 msec
1	1.0	predict(test01278,earn).
# proved 80	predict(test01624,X1)  #v:[?].	4 msec
1	0.369326321206931	predict(test01624,ship).
2	0.35919006318210883	predict(test01624,acq).
3	0.24913050915397594	predict(test01624,earn).
4	0.02235310645698426	predict(test01624,money-fx).
# proved 81	predict(test00030,X1)  #v:[?].	7 msec
1	0.35192644449435134	predict(test00030,ship).
2	0.3475499911182994	predict(test00030,acq).
3	0.3005235643873493	predict(test00030,earn).
# proved 82	predict(test01652,X1)  #v:[?].	2 msec
1	1.0	predict(test01652,earn).
# proved 83	predict(test01780,X1)  #v:[?].	4 msec
1	0.2632278996321762	predict(test01780,earn).
2	0.2135804854608141	predict(test01780,ship).
3	0.2031811424706965	predict(test01780,acq).
4	0.11583576152556341	predict(test01780,money-fx).
5	0.08991280770023649	predict(test01780,trade).
6	0.07980771190472088	predict(test01780,crude).
7	0.03445419130579268	predict(test01780,interest).
# proved 84	predict(test01766,X1)  #v:[?].	3 msec
1	0.7465829490727696	predict(test01766,earn).
2	0.19937446750519178	predict(test01766,trade).
3	0.05404258342203863	predict(test01766,money-fx).
# proved 85	predict(test01230,X1)  #v:[?].	6 msec
1	0.1317768527040897	predict(test01230,ship).
2	0.13105239178428427	predict(test01230,acq).
3	0.1240267596918157	predict(test01230,trade).
4	0.12393863985538536	predict(test01230,crude).
5	0.12291640736708305	predict(test01230,earn).
6	0.12221695035585643	predict(test01230,interest).
7	0.12220444612324485	predict(test01230,money-fx).
8	0.12186755211824056	predict(test01230,grain).
# proved 86	predict(test01037,X1)  #v:[?].	5 msec
1	0.4140818702072704	predict(test01037,acq).
2	0.33985614864551233	predict(test01037,ship).
3	0.23186829481475166	predict(test01037,earn).
4	0.014193686332465514	predict(test01037,crude).
# proved 87	predict(test01720,X1)  #v:[?].	3 msec
1	0.6924993125805329	predict(test01720,earn).
2	0.21520221548725588	predict(test01720,trade).
3	0.07726499637793903	predict(test01720,money-fx).
4	0.01503347555427233	predict(test01720,crude).
# proved 88	predict(test00358,X1)  #v:[?].	3 msec
1	0.8458777779038902	predict(test00358,earn).
2	0.15412222209610982	predict(test00358,money-fx).
# proved 89	predict(test00398,X1)  #v:[?].	4 msec
1	0.576637507134823	predict(test00398,earn).
2	0.4233624928651771	predict(test00398,acq).
# proved 90	predict(test00185,X1)  #v:[?].	8 msec
1	0.1391013777783401	predict(test00185,ship).
2	0.1363790136491554	predict(test00185,acq).
3	0.1251575656172298	predict(test00185,earn).
4	0.12252406952520832	predict(test00185,crude).
5	0.12237228468689473	predict(test00185,trade).
6	0.12044624991639802	predict(test00185,money-fx).
7	0.11840866571718567	predict(test00185,grain).
8	0.11561077310958799	predict(test00185,interest).
# proved 91	predict(test01293,X1)  #v:[?].	5 msec
1	0.1804330743028256	predict(test01293,acq).
2	0.15792539151065407	predict(test01293,earn).
3	0.1489883502152896	predict(test01293,ship).
4	0.10825067185108998	predict(test01293,crude).
5	0.1060722735132678	predict(test01293,interest).
6	0.10324637541202514	predict(test01293,money-fx).
7	0.09903274516537672	predict(test01293,trade).
8	0.09605111802947108	predict(test01293,grain).
# proved 92	predict(test01774,X1)  #v:[?].	3 msec
1	0.5053067760069889	predict(test01774,earn).
2	0.4881788127135449	predict(test01774,ship).
3	0.00651441127946615	predict(test01774,trade).
# proved 93	predict(test01045,X1)  #v:[?].	3 msec
1	0.2172762903635705	predict(test01045,earn).
2	0.16446483001546888	predict(test01045,ship).
3	0.14451939728769175	predict(test01045,trade).
4	0.13436313265857294	predict(test01045,grain).
5	0.12477296416084216	predict(test01045,money-fx).
6	0.11837240931487493	predict(test01045,crude).
7	0.09623097619897898	predict(test01045,interest).
# proved 94	predict(test01749,X1)  #v:[?].	4 msec
1	0.6231022672563836	predict(test01749,earn).
2	0.2708987993457079	predict(test01749,acq).
3	0.10599893339790857	predict(test01749,trade).
# proved 95	predict(test00982,X1)  #v:[?].	4 msec
1	0.3091159688698069	predict(test00982,ship).
2	0.29053528595345685	predict(test00982,acq).
3	0.20853886199687546	predict(test00982,earn).
4	0.1056906439781184	predict(test00982,trade).
5	0.06807644833380723	predict(test00982,money-fx).
6	0.01804279086793504	predict(test00982,crude).
# proved 96	predict(test00809,X1)  #v:[?].	3 msec
1	0.6863581850328582	predict(test00809,earn).
2	0.3136418149671419	predict(test00809,ship).
# proved 97	predict(test00500,X1)  #v:[?].	4 msec
1	0.8099864893930215	predict(test00500,earn).
2	0.19001351060697846	predict(test00500,interest).
# proved 98	predict(test00634,X1)  #v:[?].	4 msec
1	0.7947148440722842	predict(test00634,earn).
2	0.20528515592771573	predict(test00634,money-fx).
# proved 99	predict(test00017,X1)  #v:[?].	10 msec
1	0.17189663267954294	predict(test00017,ship).
2	0.15886778115242162	predict(test00017,trade).
3	0.15305152207541886	predict(test00017,acq).
4	0.1399647917138137	predict(test00017,money-fx).
5	0.12944071503524152	predict(test00017,crude).
6	0.1242657314449182	predict(test00017,interest).
7	0.12251282589864305	predict(test00017,grain).
# proved 100	predict(test01493,X1)  #v:[?].	3 msec
1	0.8874355874796537	predict(test01493,earn).
2	0.11256441252034638	predict(test01493,ship).
# proved 101	predict(test01127,X1)  #v:[?].	7 msec
1	0.38460501363251476	predict(test01127,ship).
2	0.3335046872532361	predict(test01127,interest).
3	0.2818902991142492	predict(test01127,money-fx).
# proved 102	predict(test00158,X1)  #v:[?].	2 msec
1	0.9416943062663924	predict(test00158,earn).
2	0.05830569373360755	predict(test00158,trade).
# proved 103	predict(test01900,X1)  #v:[?].	3 msec
1	0.5812729168210887	predict(test01900,ship).
2	0.36203885385233403	predict(test01900,money-fx).
3	0.0566882293265772	predict(test01900,crude).
# proved 104	predict(test01691,X1)  #v:[?].	3 msec
1	1.0	predict(test01691,earn).
# proved 105	predict(test00101,X1)  #v:[?].	6 msec
1	0.35519907863162375	predict(test00101,earn).
2	0.3433184278982367	predict(test00101,ship).
3	0.3014824934701396	predict(test00101,acq).
# proved 106	predict(test00035,X1)  #v:[?].	3 msec
1	0.6438959360045918	predict(test00035,earn).
2	0.16937160766902043	predict(test00035,trade).
3	0.10589088300362703	predict(test00035,acq).
4	0.06334665706610992	predict(test00035,crude).
5	0.017494916256650787	predict(test00035,money-fx).
# proved 107	predict(test01478,X1)  #v:[?].	5 msec
1	0.20123151988723634	predict(test01478,ship).
2	0.20047315347157335	predict(test01478,acq).
3	0.14875441557942695	predict(test01478,interest).
4	0.12237039493266	predict(test01478,crude).
5	0.0994588256355272	predict(test01478,grain).
6	0.09755209918808537	predict(test01478,trade).
7	0.09016792784705206	predict(test01478,earn).
8	0.039991663458438735	predict(test01478,money-fx).
# proved 108	predict(test02092,X1)  #v:[?].	3 msec
1	0.4285131034217159	predict(test02092,earn).
2	0.2783525221320422	predict(test02092,acq).
3	0.15099097533191305	predict(test02092,trade).
4	0.13356468503163538	predict(test02092,money-fx).
5	0.008578714082693551	predict(test02092,interest).
# proved 109	predict(test00318,X1)  #v:[?].	5 msec
1	0.15561814709417718	predict(test00318,acq).
2	0.15291446704521985	predict(test00318,ship).
3	0.13275323563982783	predict(test00318,earn).
4	0.11979252651917591	predict(test00318,money-fx).
5	0.119151934799993	predict(test00318,interest).
6	0.1160974980809955	predict(test00318,crude).
7	0.11377886216377944	predict(test00318,grain).
8	0.08989332865683138	predict(test00318,trade).
