# proved 1	predict(train00626,X1)  #v:[?].	352 msec
3	0.2625226712440485	predict(train02258,crude).
4	0.09619959294546244	predict(train02258,ship).
# proved 19	predict(train02960,X1)  #v:[?].	12 msec
1	1.0	predict(train02960,earn).
# proved 20	predict(train02651,X1)  #v:[?].	32 msec
1	0.39192923690675935	predict(train02651,earn).
2	0.29376407932354287	predict(train02651,money-fx).
3	0.17438598071704522	predict(train02651,acq).
4	0.1399207030526526	predict(train02651,trade).
# proved 21	predict(train01760,X1)  #v:[?].	17 msec
1	0.5296005031521109	predict(train01760,earn).
2	0.470399496847889	predict(train01760,acq).
# proved 22	predict(train05484,X1)  #v:[?].	8 msec
1	0.39883527235446325	predict(train05484,earn).
2	0.2520645801926744	predict(train05484,interest).
3	0.25104692617285423	predict(train05484,money-fx).
4	0.09805322128000796	predict(train05484,ship).
# proved 23	predict(train03205,X1)  #v:[?].	18 msec
1	1.0	predict(train03205,earn).
# proved 24	predict(train04583,X1)  #v:[?].	10 msec
1	0.5255453669383755	predict(train04583,earn).
2	0.47445463306162444	predict(train04583,acq).
# proved 25	predict(train02453,X1)  #v:[?].	8 msec
1	1.0	predict(train02453,earn).
# proved 26	predict(train01279,X1)  #v:[?].	16 msec
1	0.4001331050954241	predict(train01279,earn).
2	0.3123960757950151	predict(train01279,acq).
3	0.2874708191095607	predict(train01279,crude).
# proved 27	predict(train01872,X1)  #v:[?].	5 msec
1	1.0	predict(train01872,earn).
# proved 28	predict(train01665,X1)  #v:[?].	6 msec
1	1.0	predict(train01665,earn).
# proved 29	predict(train00189,X1)  #v:[?].	7 msec
1	1.0	predict(train00189,earn).
# proved 30	predict(train05409,X1)  #v:[?].	10 msec
1	0.5141090556041445	predict(train05409,earn).
2	0.48589094439585545	predict(train05409,acq).
# proved 31	predict(train02715,X1)  #v:[?].	75 msec
1	0.5483477532588446	predict(train02715,earn).
2	0.4516522467411554	predict(train02715,acq).
# proved 32	predict(train03430,X1)  #v:[?].	5 msec
1	1.0	predict(train03430,earn).
# proved 33	predict(train01601,X1)  #v:[?].	17 msec
1	0.5392734647925116	predict(train01601,earn).
2	0.4607265352074884	predict(train01601,acq).
# proved 34	predict(train03657,X1)  #v:[?].	15 msec
1	0.5121824644518883	predict(train03657,earn).
2	0.48781753554811164	predict(train03657,acq).
# proved 35	predict(train05335,X1)  #v:[?].	12 msec
1	0.40384576941726924	predict(train05335,earn).
2	0.36193742492751885	predict(train05335,acq).
3	0.2342168056552119	predict(train05335,crude).
# proved 36	predict(train03782,X1)  #v:[?].	5 msec
1	1.0	predict(train03782,earn).
# proved 37	predict(train00177,X1)  #v:[?].	5 msec
1	1.0	predict(train00177,earn).
# proved 38	predict(train00082,X1)  #v:[?].	4 msec
1	1.0	predict(train00082,earn).
# proved 39	predict(train02613,X1)  #v:[?].	8 msec
1	0.4915209268503862	predict(train02613,earn).
2	0.44227015298228095	predict(train02613,acq).
3	0.06620892016733294	predict(train02613,crude).
# proved 40	predict(train00282,X1)  #v:[?].	5 msec
1	1.0	predict(train00282,earn).
# proved 41	predict(train04853,X1)  #v:[?].	17 msec
1	0.40748291829943895	predict(train04853,earn).
2	0.35975036636113616	predict(train04853,acq).
3	0.2327667153394248	predict(train04853,ship).
# proved 42	predict(train00165,X1)  #v:[?].	4 msec
1	1.0	predict(train00165,earn).
# proved 43	predict(train02766,X1)  #v:[?].	11 msec
1	0.4044474941063095	predict(train02766,earn).
2	0.29276535034872747	predict(train02766,crude).
3	0.17076518534646995	predict(train02766,ship).
4	0.132021970198493	predict(train02766,acq).
# proved 44	predict(train00806,X1)  #v:[?].	7 msec
1	1.0	predict(train00806,earn).
# proved 45	predict(train01114,X1)  #v:[?].	6 msec
1	0.4474761861388576	predict(train01114,earn).
2	0.3708987209164332	predict(train01114,interest).
3	0.10884796512173049	predict(train01114,money-fx).
4	0.07277712782297868	predict(train01114,ship).
# proved 46	predict(train01020,X1)  #v:[?].	5 msec
1	1.0	predict(train01020,earn).
# proved 47	predict(train00207,X1)  #v:[?].	6 msec
1	0.39041934396483796	predict(train00207,earn).
2	0.3478563418785458	predict(train00207,crude).
3	0.2617243141566162	predict(train00207,acq).
# proved 48	predict(train02145,X1)  #v:[?].	5 msec
1	1.0	predict(train02145,earn).
# proved 49	predict(train02011,X1)  #v:[?].	18 msec
1	0.37401891462051595	predict(train02011,earn).
2	0.25638943236160666	predict(train02011,interest).
3	0.24392823689364115	predict(train02011,money-fx).
4	0.12566341612423612	predict(train02011,crude).
# proved 50	predict(train01691,X1)  #v:[?].	3 msec
1	1.0	predict(train01691,earn).
# proved 51	predict(train03605,X1)  #v:[?].	4 msec
1	1.0	predict(train03605,earn).
# proved 52	predict(train05081,X1)  #v:[?].	3 msec
1	1.0	predict(train05081,earn).
# proved 53	predict(train01007,X1)  #v:[?].	5 msec
1	1.0	predict(train01007,earn).
# proved 54	predict(train03676,X1)  #v:[?].	5 msec
1	1.0	predict(train03676,earn).
# proved 55	predict(train04726,X1)  #v:[?].	4 msec
1	1.0	predict(train04726,earn).
# proved 56	predict(train01430,X1)  #v:[?].	4 msec
1	1.0	predict(train01430,acq).
# proved 57	predict(train03969,X1)  #v:[?].	21 msec
1	0.5137743559792024	predict(train03969,earn).
2	0.48622564402079754	predict(train03969,acq).
# proved 58	predict(train02432,X1)  #v:[?].	11 msec
1	0.4118902871145826	predict(train02432,earn).
2	0.3287594991243758	predict(train02432,crude).
3	0.25935021376104156	predict(train02432,acq).
# proved 59	predict(train03737,X1)  #v:[?].	4 msec
1	1.0	predict(train03737,earn).
# proved 60	predict(train00969,X1)  #v:[?].	5 msec
1	0.5212819666911106	predict(train00969,earn).
2	0.47871803330888946	predict(train00969,acq).
# proved 61	predict(train04016,X1)  #v:[?].	4 msec
1	0.4323526615074804	predict(train04016,grain).
2	0.19639411283097571	predict(train04016,trade).
3	0.1844572148719869	predict(train04016,ship).
4	0.14915043260909397	predict(train04016,earn).
5	0.037645578180463095	predict(train04016,crude).
# proved 62	predict(train01953,X1)  #v:[?].	4 msec
1	1.0	predict(train01953,earn).
# proved 63	predict(train05309,X1)  #v:[?].	5 msec
1	0.5264924662394336	predict(train05309,earn).
2	0.4735075337605665	predict(train05309,acq).
# proved 64	predict(train04330,X1)  #v:[?].	15 msec
1	0.3738741213365232	predict(train04330,earn).
2	0.31806649092663336	predict(train04330,trade).
3	0.30805938773684355	predict(train04330,acq).
# proved 65	predict(train00514,X1)  #v:[?].	3 msec
1	1.0	predict(train00514,earn).
# proved 66	predict(train05102,X1)  #v:[?].	10 msec
1	0.5424175681663587	predict(train05102,earn).
2	0.4575824318336414	predict(train05102,acq).
# proved 67	predict(train03938,X1)  #v:[?].	4 msec
1	0.5193396270970609	predict(train03938,earn).
2	0.4806603729029391	predict(train03938,acq).
# proved 68	predict(train05391,X1)  #v:[?].	3 msec
1	0.6910618243696244	predict(train05391,money-fx).
2	0.13432740739570884	predict(train05391,interest).
3	0.13046688742782359	predict(train05391,trade).
4	0.044143880806843006	predict(train05391,crude).
# proved 69	predict(train03058,X1)  #v:[?].	10 msec
1	0.30650741549553573	predict(train03058,earn).
2	0.27059406258923924	predict(train03058,ship).
3	0.25797675221610855	predict(train03058,crude).
4	0.16492176969911646	predict(train03058,trade).
# proved 70	predict(train01310,X1)  #v:[?].	9 msec
1	0.5079510254459826	predict(train01310,earn).
2	0.3728687537825375	predict(train01310,money-fx).
3	0.10580281497601174	predict(train01310,acq).
4	0.013377405795468091	predict(train01310,grain).
# proved 71	predict(train04245,X1)  #v:[?].	3 msec
1	1.0	predict(train04245,earn).
# proved 72	predict(train01524,X1)  #v:[?].	84 msec
1	0.5188146891733403	predict(train01524,earn).
2	0.48118531082665983	predict(train01524,acq).
# proved 73	predict(train04833,X1)  #v:[?].	3 msec
1	0.5716762693683357	predict(train04833,earn).
2	0.42832373063166435	predict(train04833,acq).
# proved 74	predict(train04443,X1)  #v:[?].	5 msec
1	1.0	predict(train04443,earn).
# proved 75	predict(train00610,X1)  #v:[?].	4 msec
1	0.50087909310862	predict(train00610,earn).
2	0.4991209068913801	predict(train00610,acq).
# proved 76	predict(train03537,X1)  #v:[?].	7 msec
1	0.40542105942153883	predict(train03537,earn).
2	0.31130849153523427	predict(train03537,acq).
3	0.27101178979655166	predict(train03537,grain).
4	0.012258659246675262	predict(train03537,trade).
# proved 77	predict(train00907,X1)  #v:[?].	6 msec
1	1.0	predict(train00907,earn).
# proved 78	predict(train03939,X1)  #v:[?].	4 msec
1	1.0	predict(train03939,earn).
# proved 79	predict(train00923,X1)  #v:[?].	4 msec
1	1.0	predict(train00923,earn).
# proved 80	predict(train00782,X1)  #v:[?].	4 msec
1	1.0	predict(train00782,earn).
# proved 81	predict(train05016,X1)  #v:[?].	5 msec
1	0.5219395121554367	predict(train05016,earn).
2	0.4780604878445634	predict(train05016,acq).
# proved 82	predict(train03777,X1)  #v:[?].	4 msec
1	1.0	predict(train03777,earn).
# proved 83	predict(train04952,X1)  #v:[?].	5 msec
1	0.48140415515363094	predict(train04952,earn).
2	0.39064633054712433	predict(train04952,interest).
3	0.12794951429924473	predict(train04952,acq).
# proved 84	predict(train05008,X1)  #v:[?].	4 msec
1	1.0	predict(train05008,earn).
# proved 85	predict(train04690,X1)  #v:[?].	9 msec
1	0.5985556517050525	predict(train04690,earn).
2	0.4014443482949474	predict(train04690,acq).
# proved 86	predict(train04838,X1)  #v:[?].	4 msec
1	0.5499225521534288	predict(train04838,earn).
2	0.45007744784657133	predict(train04838,money-fx).
# proved 87	predict(train04697,X1)  #v:[?].	8 msec
1	0.5178650861600367	predict(train04697,earn).
2	0.4821349138399633	predict(train04697,acq).
# proved 88	predict(train03207,X1)  #v:[?].	10 msec
1	0.5723957086260603	predict(train03207,earn).
2	0.41516526867978765	predict(train03207,acq).
3	0.012439022694152152	predict(train03207,crude).
# proved 89	predict(train02615,X1)  #v:[?].	4 msec
1	1.0	predict(train02615,earn).
# proved 90	predict(train04976,X1)  #v:[?].	4 msec
1	0.7094779087142277	predict(train04976,earn).
2	0.2905220912857723	predict(train04976,crude).
# proved 91	predict(train00702,X1)  #v:[?].	5 msec
1	0.4955881430722028	predict(train00702,earn).
2	0.40882578768212935	predict(train00702,trade).
3	0.09558606924566797	predict(train00702,ship).
# proved 92	predict(train01690,X1)  #v:[?].	4 msec
1	1.0	predict(train01690,earn).
# proved 93	predict(train00694,X1)  #v:[?].	3 msec
1	1.0	predict(train00694,earn).
# proved 94	predict(train02464,X1)  #v:[?].	2 msec
1	0.7963429747417866	predict(train02464,earn).
2	0.20365702525821344	predict(train02464,acq).
# proved 95	predict(train00905,X1)  #v:[?].	4 msec
1	0.7503822942852575	predict(train00905,earn).
2	0.24961770571474257	predict(train00905,crude).
# proved 96	predict(train02367,X1)  #v:[?].	4 msec
1	0.5236028889267857	predict(train02367,earn).
2	0.4763971110732142	predict(train02367,acq).
# proved 97	predict(train00444,X1)  #v:[?].	3 msec
1	1.0	predict(train00444,earn).
# proved 98	predict(train00829,X1)  #v:[?].	5 msec
1	0.4615911845390804	predict(train00829,earn).
2	0.4164684508233226	predict(train00829,acq).
3	0.12194036463759708	predict(train00829,crude).
# proved 99	predict(train03922,X1)  #v:[?].	5 msec
1	0.5232729745756171	predict(train03922,earn).
2	0.476727025424383	predict(train03922,acq).
# proved 100	predict(train02749,X1)  #v:[?].	3 msec
1	1.0	predict(train02749,earn).
# proved 101	predict(train02643,X1)  #v:[?].	3 msec
1	1.0	predict(train02643,earn).
# proved 102	predict(train01334,X1)  #v:[?].	14 msec
1	0.629095169584579	predict(train01334,earn).
2	0.370904830415421	predict(train01334,crude).
# proved 103	predict(train02205,X1)  #v:[?].	4 msec
1	0.789348895988018	predict(train02205,earn).
2	0.21065110401198192	predict(train02205,interest).
# proved 104	predict(train02807,X1)  #v:[?].	8 msec
1	0.5303948998798027	predict(train02807,earn).
2	0.4696051001201974	predict(train02807,acq).
# proved 105	predict(train03465,X1)  #v:[?].	13 msec
1	0.6033384778897898	predict(train03465,earn).
2	0.3966615221102102	predict(train03465,acq).
# proved 106	predict(train03138,X1)  #v:[?].	9 msec
1	0.5114023156466485	predict(train03138,earn).
2	0.4885976843533515	predict(train03138,acq).
# proved 107	predict(train04470,X1)  #v:[?].	5 msec
1	0.5161476255180969	predict(train04470,earn).
2	0.4838523744819031	predict(train04470,acq).
# proved 108	predict(train04453,X1)  #v:[?].	8 msec
1	0.5999692960014829	predict(train04453,earn).
2	0.4000307039985172	predict(train04453,crude).
# proved 109	predict(train02355,X1)  #v:[?].	6 msec
1	0.5286634722287363	predict(train02355,earn).
2	0.4713365277712638	predict(train02355,acq).
# proved 110	predict(train02019,X1)  #v:[?].	17 msec
1	0.5302889903907523	predict(train02019,earn).
2	0.4697110096092477	predict(train02019,crude).
# proved 111	predict(train03875,X1)  #v:[?].	4 msec
1	1.0	predict(train03875,earn).
# proved 112	predict(train01086,X1)  #v:[?].	5 msec
1	0.5146583880306363	predict(train01086,earn).
2	0.48534161196936365	predict(train01086,acq).
# proved 113	predict(train03760,X1)  #v:[?].	7 msec
1	0.8200216414107683	predict(train03760,earn).
2	0.15577410657122678	predict(train03760,crude).
3	0.02420425201800485	predict(train03760,ship).
# proved 114	predict(train03411,X1)  #v:[?].	4 msec
1	0.5209101834002142	predict(train03411,earn).
2	0.4790898165997857	predict(train03411,acq).
# proved 115	predict(train05082,X1)  #v:[?].	3 msec
1	1.0	predict(train05082,earn).
# proved 116	predict(train01957,X1)  #v:[?].	2 msec
1	1.0	predict(train01957,earn).
# proved 117	predict(train04161,X1)  #v:[?].	3 msec
1	1.0	predict(train04161,earn).
# proved 118	predict(train01697,X1)  #v:[?].	2 msec
1	1.0	predict(train01697,earn).
# proved 119	predict(train04385,X1)  #v:[?].	5 msec
1	0.5272700572175457	predict(train04385,earn).
2	0.4727299427824543	predict(train04385,acq).
# proved 120	predict(train03347,X1)  #v:[?].	9 msec
1	0.5210122875950488	predict(train03347,earn).
2	0.47898771240495114	predict(train03347,acq).
# proved 121	predict(train04646,X1)  #v:[?].	2 msec
1	0.5427572959525269	predict(train04646,money-fx).
2	0.457242704047473	predict(train04646,interest).
# proved 122	predict(train00645,X1)  #v:[?].	9 msec
1	0.5271345499813834	predict(train00645,earn).
2	0.4728654500186166	predict(train00645,acq).
# proved 123	predict(train05013,X1)  #v:[?].	6 msec
1	0.5226359229394868	predict(train05013,earn).
2	0.4773640770605133	predict(train05013,acq).
# proved 124	predict(train00916,X1)  #v:[?].	7 msec
1	0.39990534488393825	predict(train00916,earn).
2	0.29308544684927307	predict(train00916,trade).
3	0.1741375026608037	predict(train00916,money-fx).
4	0.13287170560598494	predict(train00916,acq).
# proved 125	predict(train03370,X1)  #v:[?].	5 msec
1	1.0	predict(train03370,earn).
# proved 126	predict(train02877,X1)  #v:[?].	5 msec
1	0.4834890282189087	predict(train02877,earn).
2	0.40360566170555773	predict(train02877,money-fx).
3	0.1129053100755335	predict(train02877,interest).
# proved 127	predict(train00770,X1)  #v:[?].	3 msec
1	1.0	predict(train00770,earn).
# proved 128	predict(train01733,X1)  #v:[?].	4 msec
1	1.0	predict(train01733,earn).
# proved 129	predict(train02285,X1)  #v:[?].	5 msec
1	0.5186184452965196	predict(train02285,earn).
2	0.4813815547034805	predict(train02285,acq).
# proved 130	predict(train04439,X1)  #v:[?].	5 msec
1	0.5106753115008418	predict(train04439,earn).
2	0.48932468849915817	predict(train04439,acq).
# proved 131	predict(train04326,X1)  #v:[?].	4 msec
1	1.0	predict(train04326,earn).
# proved 132	predict(train03024,X1)  #v:[?].	5 msec
1	0.5229156112799191	predict(train03024,earn).
2	0.47708438872008085	predict(train03024,acq).
# proved 133	predict(train05098,X1)  #v:[?].	14 msec
1	0.9906980982004242	predict(train05098,earn).
2	0.009301901799575856	predict(train05098,trade).
# proved 134	predict(train03966,X1)  #v:[?].	8 msec
1	0.46859428095633227	predict(train03966,earn).
2	0.3989636515830253	predict(train03966,trade).
3	0.13244206746064247	predict(train03966,acq).
# proved 135	predict(train05346,X1)  #v:[?].	9 msec
1	0.4176018867805506	predict(train05346,earn).
2	0.2756985244535754	predict(train05346,grain).
3	0.19436768470151564	predict(train05346,crude).
4	0.10893195650814932	predict(train05346,trade).
5	0.0033999475562089604	predict(train05346,ship).
# proved 136	predict(train02469,X1)  #v:[?].	10 msec
1	0.40919482795360285	predict(train02469,earn).
2	0.3370597481083659	predict(train02469,crude).
3	0.2537454239380313	predict(train02469,money-fx).
# proved 137	predict(train01934,X1)  #v:[?].	3 msec
1	1.0	predict(train01934,earn).
# proved 138	predict(train04486,X1)  #v:[?].	4 msec
1	0.836436962792624	predict(train04486,earn).
2	0.16356303720737603	predict(train04486,acq).
# proved 139	predict(train00562,X1)  #v:[?].	3 msec
1	1.0	predict(train00562,earn).
# proved 140	predict(train03898,X1)  #v:[?].	5 msec
1	0.5216116935044071	predict(train03898,earn).
2	0.47838830649559283	predict(train03898,acq).
# proved 141	predict(train03114,X1)  #v:[?].	3 msec
1	0.5594091028014025	predict(train03114,earn).
2	0.439184825467275	predict(train03114,acq).
3	0.0014060717313223933	predict(train03114,crude).
# proved 142	predict(train01315,X1)  #v:[?].	11 msec
1	0.5307763130288785	predict(train01315,earn).
2	0.46922368697112143	predict(train01315,crude).
# proved 143	predict(train03630,X1)  #v:[?].	8 msec
1	0.6094894207152817	predict(train03630,earn).
2	0.3905105792847183	predict(train03630,acq).
# proved 144	predict(train02378,X1)  #v:[?].	3 msec
1	0.5909734896876667	predict(train02378,earn).
2	0.4090265103123332	predict(train02378,acq).
# proved 145	predict(train00253,X1)  #v:[?].	4 msec
1	1.0	predict(train00253,earn).
# proved 146	predict(train02725,X1)  #v:[?].	7 msec
1	0.5133217171642397	predict(train02725,earn).
2	0.48667828283576037	predict(train02725,acq).
# proved 147	predict(train02955,X1)  #v:[?].	2 msec
1	1.0	predict(train02955,earn).
# proved 148	predict(train02638,X1)  #v:[?].	20 msec
1	0.39233710888059287	predict(train02638,earn).
2	0.3247573732608644	predict(train02638,ship).
3	0.28290551785854273	predict(train02638,trade).
# proved 149	predict(train03859,X1)  #v:[?].	4 msec
1	0.40577450097822215	predict(train03859,earn).
2	0.361953346354103	predict(train03859,acq).
3	0.23227215266767479	predict(train03859,crude).
# proved 150	predict(train03689,X1)  #v:[?].	5 msec
1	1.0	predict(train03689,earn).
# proved 151	predict(train03142,X1)  #v:[?].	4 msec
1	1.0	predict(train03142,earn).
# proved 152	predict(train05413,X1)  #v:[?].	5 msec
1	0.5380406071451337	predict(train05413,earn).
2	0.4619593928548663	predict(train05413,acq).
# proved 153	predict(train00741,X1)  #v:[?].	3 msec
1	0.9451077322845344	predict(train00741,earn).
2	0.05489226771546558	predict(train00741,trade).
# proved 154	predict(train05453,X1)  #v:[?].	3 msec
1	1.0	predict(train05453,earn).
# proved 155	predict(train02417,X1)  #v:[?].	4 msec
1	0.5194989127825095	predict(train02417,earn).
2	0.48050108721749046	predict(train02417,acq).
# proved 156	predict(train04526,X1)  #v:[?].	3 msec
1	1.0	predict(train04526,earn).
# proved 157	predict(train02726,X1)  #v:[?].	10 msec
1	0.4035038575716972	predict(train02726,earn).
2	0.2882437910431668	predict(train02726,acq).
3	0.17306716458152951	predict(train02726,ship).
4	0.13518518680360656	predict(train02726,crude).
# proved 158	predict(train05057,X1)  #v:[?].	3 msec
1	0.5234669667656373	predict(train05057,earn).
2	0.4469643228184443	predict(train05057,interest).
3	0.029568710415918336	predict(train05057,crude).
# proved 159	predict(train05157,X1)  #v:[?].	4 msec
1	0.5460546237253382	predict(train05157,earn).
2	0.45394537627466175	predict(train05157,acq).
# proved 160	predict(train01541,X1)  #v:[?].	2 msec
1	0.5682909189481021	predict(train01541,earn).
2	0.43170908105189776	predict(train01541,acq).
# proved 161	predict(train05126,X1)  #v:[?].	2 msec
1	0.46583852201521286	predict(train05126,earn).
2	0.4074351125737892	predict(train05126,interest).
3	0.1267263654109978	predict(train05126,acq).
# proved 162	predict(train01718,X1)  #v:[?].	3 msec
1	1.0	predict(train01718,earn).
# proved 163	predict(train04040,X1)  #v:[?].	2 msec
1	1.0	predict(train04040,money-fx).
# proved 164	predict(train01006,X1)  #v:[?].	3 msec
1	1.0	predict(train01006,earn).
# proved 165	predict(train00413,X1)  #v:[?].	3 msec
1	1.0	predict(train00413,earn).
# proved 166	predict(train02295,X1)  #v:[?].	3 msec
1	0.5450186395395088	predict(train02295,earn).
2	0.4549813604604912	predict(train02295,acq).
# proved 167	predict(train00600,X1)  #v:[?].	3 msec
1	1.0	predict(train00600,earn).
# proved 168	predict(train01891,X1)  #v:[?].	8 msec
1	0.5144904449209229	predict(train01891,earn).
2	0.4855095550790771	predict(train01891,acq).
# proved 169	predict(train04266,X1)  #v:[?].	4 msec
1	0.5395903180747731	predict(train04266,earn).
2	0.4604096819252268	predict(train04266,acq).
# proved 170	predict(train03186,X1)  #v:[?].	3 msec
1	1.0	predict(train03186,earn).
# proved 171	predict(train04652,X1)  #v:[?].	4 msec
1	0.3313111307274613	predict(train04652,earn).
2	0.26291284189533337	predict(train04652,interest).
3	0.25360009155076024	predict(train04652,money-fx).
4	0.15217593582644515	predict(train04652,acq).
# proved 172	predict(train00317,X1)  #v:[?].	5 msec
1	1.0	predict(train00317,earn).
# proved 173	predict(train00763,X1)  #v:[?].	4 msec
1	1.0	predict(train00763,earn).
# proved 174	predict(train01116,X1)  #v:[?].	6 msec
1	0.4439105294829355	predict(train01116,earn).
2	0.34785321652516193	predict(train01116,ship).
3	0.20823625399190246	predict(train01116,crude).
# proved 175	predict(train04343,X1)  #v:[?].	6 msec
1	0.6878063410504305	predict(train04343,earn).
2	0.3121936589495696	predict(train04343,trade).
# proved 176	predict(train00998,X1)  #v:[?].	5 msec
1	0.604164301490395	predict(train00998,earn).
2	0.26891207059460165	predict(train00998,interest).
3	0.09241137766330615	predict(train00998,acq).
4	0.03451225025169717	predict(train00998,money-fx).
# proved 177	predict(train04871,X1)  #v:[?].	4 msec
1	0.45635968117074116	predict(train04871,earn).
2	0.2599015463864135	predict(train04871,acq).
3	0.13443068560906535	predict(train04871,crude).
4	0.1064325159223444	predict(train04871,ship).
5	0.04287557091143546	predict(train04871,grain).
# proved 178	predict(train02021,X1)  #v:[?].	14 msec
1	0.763111728577802	predict(train02021,earn).
2	0.236888271422198	predict(train02021,crude).
# proved 179	predict(train02344,X1)  #v:[?].	5 msec
1	0.5068760210550624	predict(train02344,earn).
2	0.49312397894493765	predict(train02344,acq).
# proved 180	predict(train05464,X1)  #v:[?].	5 msec
1	0.5160321568267849	predict(train05464,earn).
2	0.48396784317321495	predict(train05464,acq).
# proved 181	predict(train04755,X1)  #v:[?].	4 msec
1	0.6793946874193689	predict(train04755,earn).
2	0.3206053125806312	predict(train04755,acq).
# proved 182	predict(train00176,X1)  #v:[?].	6 msec
1	1.0	predict(train00176,earn).
# proved 183	predict(train00826,X1)  #v:[?].	4 msec
1	0.531203100501854	predict(train00826,earn).
2	0.46879689949814607	predict(train00826,acq).
# proved 184	predict(train00059,X1)  #v:[?].	5 msec
1	0.5871825255658947	predict(train00059,earn).
2	0.41281747443410527	predict(train00059,acq).
# proved 185	predict(train03077,X1)  #v:[?].	3 msec
1	1.0	predict(train03077,earn).
# proved 186	predict(train01440,X1)  #v:[?].	3 msec
1	1.0	predict(train01440,earn).
# proved 187	predict(train04706,X1)  #v:[?].	3 msec
1	0.5264512212185285	predict(train04706,earn).
2	0.47354877878147145	predict(train04706,acq).
# proved 188	predict(train04905,X1)  #v:[?].	5 msec
1	0.5190477795360608	predict(train04905,earn).
2	0.4809522204639391	predict(train04905,acq).
# proved 189	predict(train00830,X1)  #v:[?].	3 msec
1	1.0	predict(train00830,earn).
# proved 190	predict(train04787,X1)  #v:[?].	17 msec
1	0.5417696015012068	predict(train04787,earn).
2	0.45823039849879327	predict(train04787,crude).
# proved 191	predict(train04314,X1)  #v:[?].	4 msec
1	1.0	predict(train04314,earn).
# proved 192	predict(train01789,X1)  #v:[?].	3 msec
1	0.5238198248413102	predict(train01789,earn).
2	0.4761801751586897	predict(train01789,acq).
# proved 193	predict(train01238,X1)  #v:[?].	5 msec
1	0.5369484969279805	predict(train01238,earn).
2	0.46305150307201953	predict(train01238,acq).
# proved 194	predict(train03548,X1)  #v:[?].	6 msec
1	0.39031715288055774	predict(train03548,earn).
2	0.3156149801249575	predict(train03548,money-fx).
3	0.22623734535849724	predict(train03548,interest).
4	0.06783052163598755	predict(train03548,crude).
# proved 195	predict(train03566,X1)  #v:[?].	7 msec
1	0.5052794507343005	predict(train03566,earn).
2	0.4385190920261007	predict(train03566,money-fx).
3	0.05620145723959877	predict(train03566,trade).
# proved 196	predict(train05155,X1)  #v:[?].	6 msec
1	0.6822165724483542	predict(train05155,earn).
2	0.3008394586642585	predict(train05155,crude).
3	0.01694396888738726	predict(train05155,acq).
# proved 197	predict(train02374,X1)  #v:[?].	4 msec
1	0.37766603759718786	predict(train02374,earn).
2	0.29320726083364035	predict(train02374,interest).
3	0.28556140567856625	predict(train02374,money-fx).
4	0.04356529589060548	predict(train02374,trade).
# proved 198	predict(train01712,X1)  #v:[?].	10 msec
1	0.5099700914092216	predict(train01712,earn).
2	0.4900299085907784	predict(train01712,acq).
# proved 199	predict(train04799,X1)  #v:[?].	3 msec
1	0.7625953349338842	predict(train04799,earn).
2	0.23740466506611585	predict(train04799,crude).
